dropped,beta,p,shift
SRB,0.17571673406238572,0.00020466793296480823,0.003359193364711466
SUR,0.1790759274270972,0.00014921473868145796,0.0
SVK,0.18129190744975504,0.00011639170609822891,0.002215980022657854
SVN,0.1790759274270972,0.00014921473868145796,0.0
SWE,0.1790759274270972,0.00014921473868145796,0.0
SWZ,0.1780931844079124,0.00016335825624813616,0.000982743019184773
TCD,0.1790759274270972,0.00014921473868145796,0.0
TGO,0.18419317708188712,0.00011524750927005556,0.005117249654789935
THA,0.17982855732766131,0.00014137425936455728,0.0007526299005641279
TJK,0.1790759274270972,0.00014921473868145796,0.0
TLS,0.1790759274270972,0.00014921473868145796,0.0
TTO,0.1790759274270972,0.00014921473868145796,0.0
TUN,0.1759659694772634,0.0001581797624112813,0.0031099579498337915
TZA,0.17869432505064453,0.00016049312031918284,0.0003816023764526555
UGA,0.17907592742709716,0.00014921561238456782,2.7755575615628914e-17
UKR,0.18227298735412567,0.0001484160230853515,0.003197059927028484
URY,0.18838124897516673,8.151921798882356e-05,0.00930532154806954
USA,0.1792244126134742,0.0001674013835075705,0.00014848518637700092
UZB,0.1790759274270972,0.00014921473868145796,0.0
VNM,0.17542902587959605,0.00021148500996392983,0.0036469015475011357
ZAF,0.1841682774090195,0.00012821783800553987,0.005092349981922317
ZMB,0.16928788337137063,0.0005159747893284106,0.009788044055726558
